Date, SP500, Percent Change (Over the Quarter)
10/1/2012,1418.139032,6.76%
1/1/2013,1513.98,6.31%
4/1/2013,1609.49125,4.07%
7/1/2013,1674.943594,5.60%
10/1/2013,1768.667344,3.74%
1/1/2014,1834.871148,3.57%
4/1/2014,1900.372698,3.97%
7/1/2014,1975.908125,1.69%
10/1/2014,2009.344375,2.70%
1/1/2015,2063.689836,1.85%
4/1/2015,2101.829048,-3.55%
7/1/2015,2027.2,1.24%
10/1/2015,2052.311875,-4.93%
1/1/2016,1951.224918,6.35%
4/1/2016,2075.131563,4.19%
7/1/2016,2162.056875,1.06%
10/1/2016,2184.878571,6.46%
1/1/2017,2325.927903,3.10%
4/1/2017,2397.970952,2.89%
7/1/2017,2467.174603,5.52%
10/1/2017,2603.277302,5.00%
1/1/2018,2733.476721,-1.11%
4/1/2018,2703.13125,5.42%
7/1/2018,2849.601429,-5.29%
10/1/2018,2698.92619,0.82%
1/1/2019,2721.004426,5.93%
4/1/2019,2882.327778,2.62%
7/1/2019,2957.852813,4.22%
10/1/2019,3082.755625,-0.87%
